MOVIE_TITLE;RELEASE_YEAR;RATING_AVG;RATING_CRITICS;RATING_AUDIENCE;VOTES_COUNT
Kiss of the Spider Woman;1985;7,7;7,75;8;67
Kiss of Death;1947;7,6;7,67;8;43
Cat People;1982;6,6;6,65;7;92
Cat People;1942;8,4;8,5;8;153
One Touch of Venus;1948;6,5;6;7;10
Kiss Me Deadly;1955;7,8;7,76;8;87
Bad Boys;1983;6,8;7;7;37
Bada alla tua pelle Spirito Santo!;1972;3;3;3;7
Reach for the Sky;1956;7,1;8;6;7
Out of Rosenheim;1987;7,5;7,57;7;59
Thunder in the East;1953;6,4;6;7;6
Lifeguard;1976;6;6;6;3
Thunder Bay;1953;7,5;8;7;12
The Whales of August;1987;7,9;7,89;8;46
Ball of Fire;1941;8,2;8,44;8;33
Dances with Wolves;1990;8,1;8,07;8;373
Dance with a Stranger;1985;6,9;6,63;7;46
Slow Dancing in the Big City;1978;7,5;7;8;3
La ballata dei mariti;1963;4,5;4;5;3
Paint Your Wagon;1969;5,5;5,25;6;19
The Ballad of Gregorio Cortez;1982;7,5;8;7;6
Blowing Wild;1952;7,3;7,5;7;15
Spaceballs;1987;6;5,31;7;184
I bambini ci guardano;1944;7,6;7,5;8;70
Kids Like These;1987;8;6;10;3
The Golden Child;1986;4,2;3,33;5;78
Cherry 2000;1988;5,8;6;6;10
La bambolona;1968;7;7,67;6;32
Banana Joe;1982;6,1;5,92;6;115
La banca di Monate;1976;4,3;4;5;15
Le banquet;1989;6,8;7;7;12
La Banquiere;1980;6,5;7;6;6
Goodbye Pork Pie;1981;6,8;8;6;4
Band of Angels;1957;6,7;6,67;7;17
La banda degli onesti;1956;7,9;7,63;8;194
Ten Wanted Men;1955;6;6;6;9
Highway 301;1950;6,5;6;7;3
Eddie and the Cruisers;1984;7,3;6;9;3
Edge of Darkness;1943;6,1;6;6;10
Banditi a Milano;1968;7,7;7,64;8;66
Action of the Tiger;1957;4,9;4;6;5
Pepe le Moko;1937;8,7;9;8;42
The Great Jewel Robber;1950;5,3;6;5;3
A Slight Case of Murder;1938;7,5;8;7;5
Bandolero!;1968;6,5;6,67;6;37
Barabba;1961;6,9;6,6;7;28
Bluebeard;1972;4,7;3,67;6;22
Yellowbeard;1983;4,8;5;5;9
Dr Jekyll and Sister Hyde;1971;7,1;6,83;7;16
Barbarella;1967;5,8;5,6;6;40
The Barbarians;1987;3,9;3;5;22
I barbieri di Sicilia;1967;5,4;5;6;20
Le baron de l'ecluse;1960;7,6;8,5;7;15
Il barone Carlo Mazza;1948;4;3;5;9
Munchhausen;1943;6,7;6,33;7;13
Von Richthofen and Brown;1971;6,8;6,75;7;26
Barquero!;1970;5,2;4;6;25
